rainfall_intensity_mmh,cumulative_24h_mm,slope_gradient_deg,dfsi_vulnerability_index,corrected_percent_flooded_area,drainage_factor,disrupted_label
3.99,69.94,38.2,0.381,4.56,0.8,1
25.59,131.67,48.6,0.778,3.14,1.0,1
11.19,94.4,22.7,0.612,1.3,0.5,1
7.76,39.77,27.9,0.393,1.99,0.5,0
1.44,40.0,22.5,0.398,6.77,0.5,0
1.44,27.33,42.0,0.121,3.37,0.8,0
0.51,54.07,32.5,0.448,2.12,0.2,0
17.1,105.58,40.9,0.311,0.46,0.8,1
7.81,46.0,48.5,0.3,0.46,0.5,0
10.47,83.32,32.6,0.126,0.62,0.5,0
0.18,25.48,20.4,0.202,9.9,0.8,0
29.78,171.5,28.3,0.473,11.98,0.2,1
15.18,71.23,15.8,0.127,5.02,1.0,0
2.03,67.1,40.7,0.571,0.19,1.0,1
1.71,26.96,14.1,0.428,3.5,0.8,0
1.72,23.07,33.5,0.43,3.72,0.8,0
3.08,25.94,19.9,0.628,15.88,0.2,0
6.32,46.27,12.6,0.532,1.04,0.5,0
4.81,37.57,25.4,0.235,4.88,0.2,0
2.93,35.83,32.6,0.13,19.22,0.8,1
8.04,46.59,18.3,0.135,10.63,0.8,0
1.28,15.9,34.0,0.519,1.66,0.5,0
2.94,18.07,35.4,0.39,0.58,0.8,0
3.88,34.09,47.0,0.329,0.3,0.5,0
5.18,64.09,42.8,0.526,0.23,0.5,1
13.07,100.81,32.9,0.336,0.35,0.8,1
1.89,23.73,38.8,0.236,14.78,0.5,0
6.14,41.22,28.3,0.335,16.48,0.2,0
7.63,56.18,33.3,0.206,0.47,0.8,0
0.4,52.43,29.3,0.45,0.32,0.5,0
7.95,77.65,27.6,0.418,4.15,0.5,0
1.59,33.35,36.9,0.53,6.49,0.8,1
0.57,37.03,26.6,0.386,5.39,0.8,0
25.28,147.58,28.8,0.452,0.04,0.8,1
28.65,116.43,28.4,0.192,2.17,0.8,1
14.04,92.97,41.6,0.272,4.84,0.2,1
3.09,24.52,22.5,0.077,6.37,0.5,0
0.87,31.22,28.8,0.462,4.5,1.0,0
9.8,79.36,42.3,0.132,1.52,0.2,0
4.93,59.56,13.8,0.408,1.2,1.0,0
1.11,17.81,45.4,0.546,6.71,0.2,0
5.81,64.62,42.8,0.639,2.98,0.2,1
0.3,19.8,29.6,0.186,1.12,0.2,0
20.4,137.9,34.9,0.458,7.67,0.5,1
2.55,44.97,49.3,0.426,6.45,0.5,1
9.23,62.03,32.7,0.333,2.58,0.5,0
3.18,39.32,19.5,0.36,6.32,0.5,0
6.24,51.39,40.9,0.606,0.41,1.0,1
6.73,63.12,21.1,0.692,9.05,0.5,1
1.74,34.62,25.4,0.89,14.47,0.8,1
29.69,97.54,41.7,0.563,0.04,0.2,1
12.68,67.58,25.4,0.418,7.66,0.8,1
23.84,85.47,37.4,0.582,5.3,0.5,1
19.14,46.38,30.3,0.389,7.34,0.5,1
7.74,65.68,37.8,0.381,1.34,1.0,1
21.67,137.28,24.7,0.705,11.79,0.5,1
0.79,40.56,29.7,0.169,6.8,1.0,0
1.85,16.67,27.1,0.614,2.02,0.5,0
0.39,0.0,25.2,0.661,5.9,0.5,0
3.35,31.7,27.0,0.716,2.11,0.2,0
4.18,39.93,27.3,0.433,1.52,0.8,0
2.69,33.26,45.9,0.109,0.6,0.5,0
15.0,96.63,32.2,0.583,9.98,0.8,1
3.75,21.29,30.7,0.324,1.0,0.8,0
2.8,28.77,31.6,0.173,2.72,0.8,0
6.65,34.15,50.2,0.44,2.86,0.2,0
1.29,42.85,34.9,0.311,0.13,0.2,0
13.77,77.66,36.2,0.296,6.05,0.5,1
0.66,19.17,27.0,0.653,4.49,0.2,0
36.84,204.1,30.9,0.345,1.3,1.0,1
12.58,79.92,23.0,0.352,10.26,0.8,1
1.88,39.05,35.7,0.261,18.14,1.0,1
0.05,17.77,27.8,0.516,4.26,0.2,0
14.36,107.28,37.5,0.452,5.25,0.5,1
10.43,66.05,24.0,0.291,0.23,0.5,0
11.1,59.81,29.3,0.337,2.17,0.2,0
12.54,90.32,30.9,0.121,0.09,0.2,0
0.65,25.63,22.4,0.247,4.82,0.5,0
3.77,49.11,18.0,0.182,6.75,0.8,0
1.05,36.89,27.1,0.208,0.48,0.2,0
16.9,70.19,32.4,0.352,0.37,0.5,0
8.3,80.86,34.9,0.425,6.59,0.5,1
3.42,48.34,29.8,0.18,2.69,0.5,0
0.56,15.48,31.5,0.629,7.12,0.5,0
3.17,8.0,32.4,0.212,1.91,0.2,0
3.34,33.17,31.7,0.217,0.73,0.8,0
11.12,84.08,19.1,0.385,1.76,0.5,0
8.63,75.85,29.3,0.214,1.24,0.8,0
18.55,110.58,23.7,0.705,2.7,0.8,1
5.43,31.63,32.2,0.597,8.42,0.5,1
1.08,17.96,37.7,0.378,1.68,1.0,0
10.62,36.35,33.2,0.256,5.05,0.5,0
12.16,35.61,24.3,0.63,3.87,1.0,1
7.0,36.55,23.9,0.038,0.96,0.5,0
12.53,62.85,15.8,0.638,1.45,0.2,0
5.79,66.26,29.8,0.27,0.88,0.8,0
6.29,22.58,30.0,0.657,5.4,0.5,0
4.74,27.04,24.8,0.1,0.52,0.5,0
0.22,0.0,37.9,0.832,3.28,0.8,0
0.97,26.66,28.9,0.222,0.71,0.2,0
0.27,10.24,35.3,0.559,0.84,0.5,0
8.6,70.96,34.6,0.469,0.02,0.8,1
3.21,42.97,33.8,0.182,2.21,0.2,0
6.04,39.55,43.2,0.547,6.3,0.5,1
20.24,102.88,13.8,0.178,0.35,0.5,0
2.44,9.78,17.9,0.72,7.12,0.5,0
4.49,24.68,36.7,0.533,7.05,0.5,0
11.97,75.63,28.1,0.486,1.0,0.5,0
2.21,19.74,48.6,0.494,7.85,0.5,1
0.68,7.64,24.1,0.445,6.66,0.5,0
2.91,38.05,23.0,0.3,4.04,0.8,0
1.49,35.47,33.4,0.204,6.76,0.5,0
22.57,138.85,26.1,0.567,0.29,1.0,1
14.03,89.21,27.7,0.412,1.46,0.8,1
8.53,26.61,43.9,0.379,1.29,0.2,0
17.44,111.84,14.9,0.417,5.78,0.8,1
13.84,72.22,32.2,0.902,5.29,0.2,1
1.76,18.17,27.6,0.122,8.42,0.2,0
18.96,84.24,27.9,0.68,1.29,1.0,1
6.59,50.27,25.1,0.339,2.44,0.5,0
14.0,100.62,21.2,0.148,0.07,1.0,0
19.25,95.45,15.6,0.404,17.56,0.2,1
3.25,11.03,48.8,0.641,2.01,1.0,1
0.99,0.0,35.1,0.519,3.1,1.0,0
2.2,21.5,38.3,0.554,2.89,0.5,0
4.73,35.07,17.7,0.291,1.87,0.8,0
14.48,80.85,13.7,0.573,1.01,0.5,0
16.76,72.3,33.7,0.26,5.21,0.8,1
0.06,12.46,36.8,0.548,1.79,0.8,0
6.08,47.77,29.1,0.533,4.24,0.8,0
4.59,22.84,28.9,0.481,4.98,0.8,0
2.13,50.77,28.8,0.269,4.92,1.0,0
1.09,14.48,21.9,0.718,0.32,0.2,0
